timestamp,basis,rank,currency,score
2026-08-06T07:48:56+00:00,1H,16,EUR,0.0141
2026-08-06T07:48:56+00:00,1H,17,TWD,0.0137
2026-08-06T07:48:56+00:00,1H,18,CNY,0.0128
2026-08-06T07:48:56+00:00,1H,19,NOK,0.0042
2026-08-06T07:48:56+00:00,1H,20,ZAR,0.0016
2026-08-06T07:48:56+00:00,1H,21,AUD,-0.0000
2026-08-06T07:48:56+00:00,1H,22,ILS,-0.0005
2026-08-06T07:48:56+00:00,1H,23,JPY,-0.0038
2026-08-06T07:48:56+00:00,1H,24,DKK,-0.0064
2026-08-06T07:48:56+00:00,1H,25,MXN,-0.0109
2026-08-06T07:48:56+00:00,1H,26,PLN,-0.0125
2026-08-06T07:48:56+00:00,1H,27,CHF,-0.0164
2026-08-06T07:48:56+00:00,1H,28,KRW,-0.2233
2026-08-06T07:48:56+00:00,1H,29,RUB,-0.3954
